City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,samraong,12.4526,105.5873,26.13,90,100,1.19,KH,1727784415
136,mermoz boabab,14.7065,-17.4758,24.99,82,96,14.5,SN,1727784417
137,nova sintra,14.8667,-24.7167,27.4,81,10,4.51,CV,1727784419
138,dondo,-19.6094,34.7431,25.73,77,95,5.73,MZ,1727784421
139,bubaque,11.2833,-15.8333,27.48,79,47,2.22,GW,1727784423
140,zhosaly,45.4878,64.0781,23.58,14,59,3.02,KZ,1727784425
141,tura,25.5198,90.2201,25.28,96,88,0.47,IN,1727784427
142,stanley,54.868,-1.6985,11.01,94,75,7.72,GB,1727784429
143,yoichi,43.2039,140.7703,16.46,81,72,3.15,JP,1727784430
144,iskateley,67.6803,53.1512,6.45,68,93,10.06,RU,1727784432
145,peruibe,-24.32,-46.9983,29.16,49,1,0.57,BR,1727784434
146,bandarbeyla,9.4942,50.8122,27.18,75,43,10.47,SO,1727784436
147,zouerate,22.7187,-12.4521,33.09,23,100,4.17,MR,1727784438
148,pervomaysk,48.0443,30.8507,24.75,24,95,5.76,UA,1727784440
149,luderitz,-26.6481,15.1594,21.86,39,0,10.03,NA,1727784442
150,kiruna,67.8557,20.2251,3.51,60,0,9.26,SE,1727784444
151,vilyuchinsk,52.9306,158.4028,11.2,91,100,2.02,RU,1727784446
152,wailua homesteads,22.0669,-159.378,22.64,95,8,3.39,US,1727784447
153,midelt,32.6852,-4.7451,26.96,25,41,2.11,MA,1727784449
154,praia da vitoria,38.7333,-27.0667,25.2,75,81,6.21,PT,1727784451
155,betio village,1.358,172.9211,28.02,70,49,5.35,KI,1727784453
156,kalianget,-7.05,113.9333,28.21,78,82,5.35,ID,1727784457
157,asosa,10.0667,34.5333,21.99,83,75,1.07,ET,1727784459
158,n'zeto,-7.2312,12.8666,27.26,67,66,4.39,AO,1727784461
159,kharan,28.5833,65.4167,36.18,13,0,1.31,PK,1727784463
160,ad dabbah,18.05,30.95,41.93,13,4,3.58,SD,1727784466
161,georgetown,5.4112,100.3354,29.97,70,20,4.12,MY,1727784337
162,nadym,65.5333,72.5167,3.42,88,99,14.12,RU,1727784470
163,suva,-18.1416,178.4415,23.71,94,75,2.06,FJ,1727784472
164,jwaneng,-24.6004,24.7303,23.71,5,0,3.71,BW,1727784474
165,jining,35.405,116.5814,14.73,44,50,1.15,CN,1727784476
166,zhezqazghan,47.7833,67.7667,22.32,11,0,5.0,KZ,1727784478
167,tindouf,27.6711,-8.1474,36.26,19,59,6.08,DZ,1727784481
168,monrovia,6.3005,-10.7969,25.84,84,94,2.4,LR,1727784483
169,panama city beach,30.1766,-85.8055,24.01,92,0,0.0,US,1727784485
170,san patricio,28.017,-97.5169,20.97,70,0,1.86,US,1727784487
171,tolanaro,-25.0319,46.9987,27.58,63,26,6.85,MG,1727784489
172,akjoujt,19.6969,-14.4164,39.59,15,87,8.28,MR,1727784491
173,walvis bay,-22.9575,14.5053,19.74,47,4,6.64,NA,1727784493
174,badger,64.8,-147.5333,1.31,73,20,1.54,US,1727784495
175,worland,44.0169,-107.9554,-1.75,59,0,0.0,US,1727784497
176,sofifi,0.7349,127.576,26.98,82,73,1.72,ID,1727784499
177,bel ombre,-4.6167,55.4167,26.9,71,77,6.37,SC,1727784500
178,constantia,44.1833,28.65,12.61,75,100,11.89,RO,1727784502
179,saint-philippe,-21.3585,55.7679,23.23,75,42,6.4,RE,1727784504
180,likiep,9.8251,169.3107,28.79,77,70,7.93,MH,1727784506
181,puerto baquerizo moreno,-0.9,-89.6,19.86,87,95,5.2,EC,1727784508
182,cabo san lucas,22.8909,-109.9124,27.09,91,100,1.79,MX,1727784510
183,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,75,3.0,RU,1727784384
184,vila franca do campo,37.7167,-25.4333,24.23,82,72,5.47,PT,1727784514
185,fisterra,42.9049,-9.2629,17.94,99,100,4.62,ES,1727784516
186,kant,27.8,79.8,30.02,64,0,2.77,IN,1727784518
187,elliot lake,46.3834,-82.6331,13.8,100,18,1.67,CA,1727784519
188,horodnya,51.8909,31.5974,22.37,22,74,5.15,UA,1727784521
189,yeppoon,-23.1333,150.7333,21.53,78,43,7.74,AU,1727784523
190,arraial do cabo,-22.9661,-42.0278,26.92,61,0,10.8,BR,1727784525
191,portland,45.5234,-122.6762,13.49,72,0,1.54,US,1727784323
192,geraldton,-28.7667,114.6,17.23,72,25,4.12,AU,1727784529
193,pangody,65.85,74.4859,2.58,95,99,12.24,RU,1727784531
